"methodId","total_garbage","minimum","maximum","number_times"
2133,0,0,0,9
2134,0,0,0,182
2138,0,0,0,10
2142,0,0,0,8819
2143,0,0,0,182
2146,0,0,0,15
2147,0,0,0,584
2148,0,0,0,202
2149,0,0,0,5
2150,0,0,0,2335
2151,0,0,0,5
2152,0,0,0,5
2153,120,24,24,5
2154,0,0,0,7
2155,280,40,40,7
2157,0,0,0,7
2159,0,0,0,7
2186,0,0,0,4668
2191,0,0,0,13
2192,288,0,48,13
2193,0,0,0,10
2195,0,0,0,10
2200,0,0,0,10
2201,0,0,0,13
2202,0,0,0,13
2206,0,0,0,26
2207,0,0,0,5
2208,160,0,40,31
2209,1080,40,40,27
2211,0,0,0,8
2213,0,0,0,1
2217,0,0,0,16
2218,0,0,0,7
2219,0,0,0,4
2223,0,0,0,1862
2224,0,0,0,1
2229,0,0,0,3388
2230,0,0,0,31
2231,56,0,56,20
2232,0,0,0,94
2246,0,0,0,5
2247,0,0,0,112
2252,0,0,0,16
2253,0,0,0,16
2254,0,0,0,16
2256,0,0,0,1155
2257,0,0,0,1155
2258,0,0,0,15
2260,0,0,0,4
2261,0,0,0,11
2265,0,0,0,718
2269,0,0,0,436
2270,0,0,0,1
2288,0,0,0,240
2289,0,0,0,15
2290,0,0,0,240
2291,0,0,0,579
2293,0,0,0,718
2298,0,0,0,437
2299,10760,32,320,190
2302,0,0,0,241
2304,0,0,0,437
2308,0,0,0,437
2309,0,0,0,1
2329,0,0,0,241
2330,0,0,0,437
2332,0,0,0,241
2335,0,0,0,437
2337,0,0,0,1
2342,0,0,0,241
2343,0,0,0,437
2344,0,0,0,437
2345,0,0,0,437
2370,0,0,0,437
2409,0,0,0,486
2410,0,0,0,430
2411,864,0,96,6952
2412,0,0,0,10731
2413,0,0,0,95
2415,0,0,0,2455
2416,10320,0,9256,58762
2419,0,0,0,87
2420,0,0,0,1
2421,0,0,0,34
2422,0,0,0,17623
2425,0,0,0,358
2426,0,0,0,460
2429,923944,56,208,9873
2441,1056,0,96,520
2450,457208,0,1088,11248
2461,0,0,0,38
2465,0,0,0,56
2470,0,0,0,27642
2479,0,0,0,5
2480,0,0,0,2328
2481,152,0,152,2328
2483,0,0,0,2329
2484,0,0,0,2328
2497,0,0,0,7
2498,0,0,0,1
2511,0,0,0,3
2512,0,0,0,4970
2513,0,0,0,3
2514,0,0,0,3
2515,72,24,24,3
2516,0,0,0,6
2517,240,40,40,6
2518,0,0,0,6
2533,0,0,0,6
2539,0,0,0,4970
2541,0,0,0,9940
2546,0,0,0,4
2547,0,0,0,3588
2549,81688,0,112,3588
2552,0,0,0,3588
2556,0,0,0,2334
2557,0,0,0,4970
2558,0,0,0,2334
2559,0,0,0,4970
2561,5472,0,96,5830
2562,0,0,0,6514
2563,0,0,0,429
2565,0,0,0,9577
2566,16424,0,16424,403439
2571,0,0,0,3
2572,0,0,0,1326
2579,1218200,56,9240,6725
2580,0,0,0,27
2591,0,0,0,71
2596,776,0,96,3339
2600,73400,0,9280,10005
2612,0,0,0,1
2627,0,0,0,53
2628,0,0,0,4704
2629,0,0,0,354
2630,0,0,0,5041
2631,0,0,0,483
2632,0,0,0,87
2633,0,0,0,354
2634,0,0,0,101
2635,0,0,0,11
2636,0,0,0,357
2637,112360,0,2120,74
2638,0,0,0,274
2640,0,0,0,66
2642,0,0,0,912
2649,0,0,0,61
2650,0,0,0,61
2652,0,0,0,61
2656,0,0,0,1138
2658,280,0,280,4981
2660,0,0,0,1
2661,0,0,0,4980
2662,0,0,0,120
2665,9272,152,152,61
2666,0,0,0,61
2673,0,0,0,315
2689,0,0,0,542
2690,0,0,0,497
2704,0,0,0,30
2705,0,0,0,1
2707,0,0,0,8358
2727,0,0,0,8358
2728,0,0,0,1
2729,0,0,0,1
2766,0,0,0,2
2767,0,0,0,2
2768,0,0,0,2
2769,0,0,0,2
2775,0,0,0,756
2776,0,0,0,360
2781,0,0,0,354
2782,0,0,0,21
2784,0,0,0,14
2785,0,0,0,7
2793,0,0,0,14
2803,0,0,0,7
2822,0,0,0,46
2823,0,0,0,22
